State,District,Latitude,Longitude,District code,Population,Sex_ratio,Literacy_rate,Male_Literacy_rate,Female_Literacy_rate,SC_ratio,ST_ratio,Worker_ratio,Male_Worker_ratio,Female_Worker_ratio,Main_Worker_ratio,Marginal_Worker_ratio,Non_Worker_ratio,Hindu_ratio,Muslim_ratio,Christian_ratio,Sikh_ratio,Buddhist_ratio,Jain_ratio,Other_religion_ratio,Religion_not_stated_ratio,Households_with_electricity_ratio,Households_with_LPG_ratio,Households_with_internet_ratio,Households_with_computer_ratio,Rural_household_ratio,Urban_household_ratio,Households_with_bicycle_ratio,Households_with_car_ratio,Households_with_radio_ratio,Households_with_scooter_ratio,Households_with_tv_ratio,Households_with_phone_ratio,Below_primary_ratio,Primary_ratio,Middle_ratio,Secondary_ratio,Higher_ratio,Graduate_ratio,Other_education_ratio,Illiteracy_rate,Age_0_29_ratio,Age_30_49_ratio,Age_50_ratio,Age_not_stated_ratio,Tapwater_ratio,Handpump_ratio,Wellwater_ratio,Springwater_ratio,Riverwater_ratio,Households_with_latrine_ratio,Households_with_bathing_facility_ratio,Low_income_ratio,Middle_income_ratio,High_income_ratio,Power_Parity_Less_than_Rs_45000_ratio,Power_Parity_Rs_45000_90000_ratio,Power_Parity_Rs_90000_150000_ratio,Power_Parity_Rs_45000_150000_ratio,Power_Parity_Rs_150000_240000_ratio,Power_Parity_Rs_240000_330000_ratio,Power_Parity_Rs_150000_330000_ratio,Power_Parity_Rs_330000_425000_ratio,Power_Parity_Rs_425000_545000_ratio,Power_Parity_Rs_330000_545000_ratio,Power_Parity_Above_Rs_545000_ratio
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,977.0,48.0,56.0,39.0,17.0,9.0,51.0,56.0,47.0,87.0,13.0,49.0,91.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,75.0,14.0,1.0,6.0,84.0,16.0,15.0,1.0,6.0,12.0,36.0,56.0,11.0,16.0,12.0,8.0,5.0,3.0,0.0,44.0,58.0,25.0,16.0,1.0,67.0,16.0,1.0,0.0,0.0,23.0,50.0,23.0,69.0,2.0,23.0,45.0,24.0,69.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,992.0,54.0,63.0,45.0,18.0,6.0,48.0,55.0,40.0,83.0,17.0,52.0,87.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,77.0,21.0,1.0,6.0,75.0,25.0,29.0,2.0,9.0,15.0,44.0,61.0,10.0,16.0,15.0,12.0,6.0,4.0,1.0,37.0,57.0,26.0,17.0,0.0,63.0,19.0,1.0,0.0,0.0,37.0,53.0,20.0,69.0,3.0,20.0,43.0,26.0,69.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,983.0,57.0,66.0,49.0,18.0,11.0,50.0,55.0,44.0,86.0,14.0,50.0,93.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,22.0,1.0,5.0,81.0,19.0,28.0,2.0,4.0,14.0,45.0,57.0,11.0,15.0,14.0,11.0,7.0,6.0,1.0,37.0,55.0,26.0,19.0,0.0,58.0,16.0,3.0,0.0,0.0,35.0,47.0,22.0,68.0,3.0,22.0,43.0,25.0,68.0,1.0,2.0,3.0,2.0,3.0,5.0,3.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1040.0,54.0,63.0,46.0,15.0,8.0,49.0,55.0,44.0,84.0,16.0,51.0,83.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,76.0,26.0,1.0,5.0,78.0,22.0,30.0,1.0,7.0,14.0,43.0,60.0,9.0,15.0,12.0,14.0,8.0,5.0,0.0,37.0,55.0,27.0,17.0,1.0,63.0,16.0,1.0,0.0,0.0,34.0,60.0,19.0,69.0,3.0,19.0,42.0,27.0,69.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,981.0,56.0,65.0,47.0,23.0,4.0,50.0,58.0,42.0,86.0,14.0,50.0,93.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,27.0,1.0,4.0,80.0,20.0,21.0,1.0,4.0,10.0,43.0,45.0,16.0,16.0,12.0,8.0,5.0,4.0,1.0,39.0,54.0,27.0,19.0,0.0,44.0,23.0,8.0,0.0,0.0,30.0,49.0,20.0,69.0,3.0,20.0,43.0,26.0,69.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1015.0,55.0,64.0,47.0,9.0,6.0,48.0,57.0,38.0,73.0,27.0,52.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,68.0,17.0,0.0,4.0,83.0,17.0,20.0,1.0,2.0,7.0,33.0,37.0,12.0,14.0,13.0,10.0,6.0,5.0,1.0,40.0,53.0,28.0,20.0,0.0,20.0,31.0,22.0,0.0,1.0,16.0,20.0,23.0,69.0,2.0,23.0,45.0,24.0,69.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1019.0,53.0,61.0,45.0,11.0,10.0,49.0,58.0,40.0,82.0,18.0,51.0,98.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,19.0,1.0,3.0,79.0,21.0,22.0,1.0,4.0,8.0,37.0,35.0,11.0,13.0,11.0,8.0,5.0,5.0,1.0,45.0,51.0,28.0,19.0,1.0,35.0,33.0,10.0,1.0,0.0,18.0,32.0,20.0,68.0,3.0,20.0,42.0,26.0,68.0,1.0,2.0,4.0,2.0,4.0,6.0,3.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,997.0,59.0,67.0,50.0,18.0,15.0,49.0,55.0,42.0,85.0,15.0,51.0,93.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,79.0,23.0,1.0,6.0,72.0,28.0,30.0,2.0,7.0,13.0,44.0,54.0,9.0,13.0,13.0,13.0,8.0,7.0,1.0,35.0,54.0,27.0,19.0,0.0,57.0,17.0,6.0,0.0,0.0,37.0,48.0,20.0,66.0,4.0,20.0,41.0,25.0,66.0,3.0,2.0,5.0,2.0,3.0,6.0,4.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1004.0,67.0,70.0,65.0,21.0,3.0,45.0,61.0,29.0,87.0,13.0,55.0,95.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,81.0,35.0,1.0,4.0,80.0,20.0,48.0,1.0,6.0,15.0,52.0,46.0,16.0,19.0,15.0,11.0,6.0,5.0,1.0,27.0,52.0,29.0,19.0,0.0,72.0,10.0,2.0,0.0,1.0,55.0,57.0,18.0,68.0,4.0,18.0,41.0,27.0,68.0,2.0,2.0,4.0,2.0,3.0,6.0,4.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,926.0,49.0,57.0,41.0,0.0,36.0,42.0,51.0,33.0,81.0,19.0,58.0,32.0,1.0,24.0,0.0,34.0,0.0,8.0,0.0,37.0,12.0,0.0,4.0,84.0,16.0,33.0,3.0,17.0,6.0,23.0,27.0,15.0,16.0,13.0,7.0,4.0,3.0,1.0,42.0,65.0,24.0,11.0,0.0,31.0,23.0,9.0,2.0,4.0,49.0,24.0,15.0,66.0,1.0,15.0,46.0,20.0,66.0,8.0,6.0,14.0,2.0,2.0,3.0,1.0
